CountryCode,Latitude,Longitude,CountryName,Tilt,size,
AT,47.516231,14.550072,Austria,47.516231,,
BE,50.503887,4.469936,Belgium,50.503887,,
BG,42.733883,25.48583,Bulgaria,42.733883,,
CH,46.818188,8.227512,Switzerland,46.818188,,
CZ,49.817492,15.472962,Czech Republic,49.817492,,
DE,51.165691,10.451526,Germany,30,10kwP for residential,Roof size for 10kWp=70m^2 roofsize
ES,40.463667,-3.74922,Spain,40.463667,,
FI,61.92411,25.748151,Finland,61.92411,,
FR,46.227638,2.213749,France,46.227638,,
GB,55.378051,-3.435973,United Kingdom,55.378051,,
IT,41.87194,12.56738,Italy,41.87194,,
NL,52.132633,5.291266,Netherlands,52.132633,,
NO,60.472024,8.468946,Norway,60.472024,,
PL,51.919438,19.145136,Poland,51.919438,,
PT,39.399872,-8.224454,Portugal,39.399872,,
,,,,0,,
